阿 ek
锕 jk
啊 kk
嗄 kw
吖 ky
腌 od
昂 oe
肮 oj
卬 pe
盎 ym
癌 be
皑 bj
蔼 cv
艾 cx
隘 em
叆 ey
捱 ft
挨 fu
锿 jy
嗌 km
唉 ku
哎 kx
嗳 ky
娭 nu
嫒 ny
暧 oy
爱 py
欸 sr
埃 tu
毐 ua
碍 uc
矮 un
毐 uw
砹 ux
哀 wy
瑷 wy
霭 yv
𩽾 an
案 bm
安 bn
荌 cn
鹌 dn
岸 eg
按 fn
揞 fo
庵 gd
鞍 gn
黯 ho
铵 jn
唵 kd
啱 ku
桉 mn
胺 on
暗 oo
犴 qg
氨 qn
俺 rd
盦 rm
埯 td
垵 tn
谙 yo
奡 al
翱 bx
澳 dd
隩 ed
鳌 fa
聱 fe
嶅 fe
熬 fh
螯 fi
鏊 fj
拗 fl
骜 fm
獒 fq
敖 fw
鏖 gj
廒 gw
嗷 kw
凹 la
媪 nm
奥 pd
袄 py
鿫 qd
傲 rw
垇 ta
坳 tl
璈 ww
懊 xd
岙 ye
遨 zw
鲃 ab
鲌 ab
鲅 ad
爸 bb
疤 bb
芭 cb
菝 cd
灞 do
岜 eb
扒 fb
把 fb
拔 fd
捌 fd
靶 gb
魃 gd
蚆 ib
钯 jb
叭 kb
吧 kb
耙 lb
粑 mb
朳 mb
妭 nd
胈 od
八 pn
巴 sl
罢 ss
坝 tr
㞎 ub
笆 vb
巴 vv
羓 yb
霸 yo
跋 zd
鬓 ab
宾 bb
邠 be
滨 db
殡 db
濒 dr
豳 eu
摈 fb
髌 gb
镔 jb
槟 mb
彬 mp
膑 ob
傧 rb
缤 sb
玢 wd
斌 wv
鲍 as
刨 bd
鸨 bn
包 bs
宝 by
薄 cc
葆 cm
苞 cs
瀑 du
剥 ed
抱 fs
报 fy
炮 hs
爆 hu
枹 ms
胞 os
暴 ou
曝 ou
褓 pm
煲 rh
保 rm
堡 rt
饱 us
龅 vs
豹 vu
褒 wy
雹 ys
孢 zs
趵 zu
百 ab
摆 fs
捭 fu
稗 hu
呗 kr
败 kw
柏 mb
白 po
伯 rb
佰 rb
拜 uf
掰 uu
本 aa
坌 bt
苯 cb
奔 dc
夯 dl
锛 jc
栟 mk
犇 nn
倴 rc
畚 st
坋 td
贲 ur
笨 vb
甭 by
崩 eo
揼 fu
蚌 if
镚 jo
嘣 ko
祊 pf
绷 so
泵 uu
甏 uw
琫 wl
迸 zk
蹦 zo
蒡 cf
浜 db
邦 fe
搒 ff
帮 fj
镑 jf
𠳐 ke
梆 me
榜 mf
棓 mk
棒 ml
膀 of
傍 rf
绑 se
塝 tf
磅 uf
玤 wf
谤 yf
鲾 at
觱 ay
比 bb
毙 bb
毖 bb
皕 bb
邲 be
痹 bl
坒 bt
毕 bu
蓖 cb
芘 cb
苾 cb
荜 cu
薜 cu
萆 cu
蔽 cw
荸 cz
泌 db
沘 db
弊 dc
必 dd
濞 dl
滗 dm
敝 dw
陛 et
庇 gb
弼 gg
髀 gu
秘 hb
秕 hb
馝 hb
彼 iy
铋 jb
吡 kb
咇 kb
鄙 ke
赑 kr
哔 ku
闭 mc
妣 nb
婢 nu
币 pj
裨 pu
匕 pv
狴 qt
佖 rb
俾 ru
畀 tl
屄 ub
嬖 un
臂 uo
壁 ut
辟 uu
璧 uy
襞 uy
篦 vb
舭 vb
箅 vl
笔 vm
筚 vu
珌 wb
碧 wu
觱 wy
愎 xw
觱 xy
诐 yy
鼻 zl
逼 zt
避 zu
跸 zu
颁 br
癍 bw
攽 bw
瘢 by
半 dl
湴 dy
阪 ey
拌 fb
扮 fd
扳 fy
搬 fy
靽 gb
钣 jy
办 ld
瓣 lu
柈 mb
板 my
粄 my
昄 oy
版 py
伴 rb
绊 sb
坂 ty
般 vy
𨭉 wj
班 ww
斑 ww
丙 an
病 bb
邴 be
并 bk
冰 du
抦 fb
摒 fk
炳 hb
蛃 ib
柄 mb
昺 ob
秉 pn
兵 qb
仌 rr
饼 uk
屏 uk
禀 wx
𰻝 zx
鳊 ac
苄 cb
萹 cc
汴 db
卞 dx
抃 fb
鞭 gg
扁 hc
煸 hc
蝙 ic
匾 kc
贬 kf
辨 lu
辩 lu
辫 lu
昪 oc
褊 pc
便 rg
编 sc
弁 sc
𨚕 se
碥 uc
砭 uf
笾 vz
变 wy
忭 xb
遍 zc
边 zl
髟 ap
鳔 ax
瘭 bx
藨 ch
蔈 cx
瀌 dh
摽 fx
表 fy
麃 gh
彪 hp
熛 hx
镳 jh
飑 js
镖 jx
幖 jx
骉 mm
杓 mu
标 mx
骠 mx
婊 ny
膘 ox
脿 oy
裱 py
猋 qq
飙 qx
儦 rh
俵 ry
僰 ar
帛 bj
蕃 ct
菠 cy
泊 db
渤 dl
波 dy
浡 dz
嶓 et
搏 fc
拨 fd
播 ft
馞 hz
钵 jb
铂 jb
镈 jc
钹 jd
𬭛 jy
噃 kt
啵 ky
哱 kz
卜 ld
欂 mc
驳 mx
桲 mz
膊 oc
脖 oz
袯 pd
砵 ub
博 uc
礴 uc
勃 ul
檗 um
鹁 un
擘 uu
孛 uz
饽 uz
舶 vb
箔 vb
簿 vc
癶 vn
簸 vy
亳 wq
玻 wy
踣 zk
跛 zy
瘪 bb
鳖 da
蹩 dr
憋 dx
别 kd
不 ad
蔀 ce
捕 ff
𬷕 fn
钚 jb
卟 kb
哺 kf
部 le
瓿 lw
晡 of
补 pb
埔 tf
埗 tp
埠 tu
布 uj
步 vp
怖 xj
醭 yn
逋 zf
邶 ae
蓓 ck
陂 ey
辈 fi
悲 fx
庳 gu
鞴 gy
鞁 gy
焙 hk
钡 jr
贝 kr
北 lb
邶 le
背 lo
杯 mb
椑 mu
糒 my
鹎 pn
褙 po
卑 pu
被 py
狈 qr
倍 rk
鐾 uj
碚 uk
碑 uu
琲 wf
备 wt
惫 wx
悖 xz
擦 fx
嚓 kx
曹 ao
草 cu
漕 do
操 fm
螬 io
嘈 ko
槽 mo
糙 mz
肏 rr
𥕢 uo
艚 vo
才 ap
菜 cm
蔡 cx
财 kc
啋 km
材 mc
睬 om
采 pm
彩 pp
猜 qo
偲 rx
裁 uy
踩 zm
测 dd
厕 id
册 pa
侧 rd
策 vn
恻 xd
涔 dv
岑 ev
参 sp
曾 bo
嶒 eo
噌 ko
层 us
蹭 zo
藏 ci
苍 cv
沧 dv
鸧 rn
仓 rv
伧 rv
舱 vv
刺 ad
疵 bb
鹚 bn
慈 bx
兹 by
茈 cb
莿 cd
茨 cr
泚 db
粢 dm
次 dr
瓷 dw
呲 kb
赐 kw
糍 my
祠 pk
辞 qu
伺 rk
佽 rr
磁 uy
𫚖 va
此 vb
雌 vf
玼 wb
差 yg
词 yk
跐 zb
残 dj
掺 fp
灿 he
黪 hp
䅟 hp
喰 kl
餐 ll
粲 lm
骖 mp
蚕 ti
孱 uz
璨 wm
惭 xj
惨 xp
瘥 bg
痤 bt
莝 ct
嵯 eg
搓 fg
措 fo
挫 ft
撮 fy
厝 io
错 jo
锉 jt
鹾 lg
酂 ne
脞 ot
磋 ug
矬 ut
瑳 wg
蹉 zg
窜 bi
撺 fi
攒 fr
镩 ji
爨 ph
汆 ru
篡 vs
蹿 zi
匆 bd
苁 cr
葱 cx
淙 dx
聪 ex
熜 hx
枞 mr
骢 mx
囱 pw
丛 ra
从 rr
琮 wx
璁 wx
悰 xx
蹙 ar
蔟 cu
殂 dq
麤 gb
徂 iq
粗 mq
猝 qu
促 rr
簇 vu
蹙 wr
卒 wu
醋 yo
酢 yv
蹴 zy
瘁 bu
萃 cu
漼 df
淬 du
崔 ef
摧 ff
啐 ku
毳 mm
粹 mu
榱 my
脆 ov
催 rf
缞 sy
璀 wf
衰 wy
悴 xu
翠 xu
寸 ad
村 mc
膥 mr
皴 sy
邨 te
存 uz
忖 xc
